Catagory,Product_Code,SKU_Code,Product Title,Product Description,Selling Price (In Rs),MRP (In Rs),Quantity,Size,Color,Sleeve Length,Brand,Neckline,Prints/Patterns,Occasion,Combo,Fabric,Fabric Care,Pack Of,Type,Art Work,Stretchable,Ideal For,Generic Name,Highlight,Weight (Kg),Dimensions L x W x H (cm),Volumetric Weight (Kg),Country Of Origin,"Product HSN Code (2,4,6,8 Digits)",Style Code,Main Image Link,Sub Image Link-1,Sub Image Link-2,Sub Image Link-3,Sub Image Link-4,Sub Image Link-5,Tags ( Only for admin use )
"Tops,Tees,Tunics & Shirts",GE_001_BGE_S,FSLTOP3068A_S,Beige Color Reyon Printed Long Top,,530,1099,10,S,Beige,3/4th Sleeves,Galaxy Enterprises,Square Neck,Printed,Active Wear & Casual,No,Rayon,Hand Wash,1,Shirt Style,,No,Girl,Top,Don't Iron|Don't Brush,0.2,16x14x4,0.1792,INDIA,,,https://www.dropbox.com/sh/boa3mi4i8orp95y/AACV3w22LKKnauh3WkIWUPvra/image007.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AACtVukHm9wZsmh89a250oUia/image008.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AAA4e_7NHKq0vymyGg3fGCB0a/image009.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AABV6YX3bBqhq4ToMcClufw8a/image010.png?dl=0,,,
"Tops,Tees,Tunics & Shirts",GE_001_BGE_M,FSLTOP3068A_M,Beige Color Reyon Printed Long Top,,530,1099,10,M,Beige,3/4th Sleeves,Galaxy Enterprises,Square Neck,Printed,Active Wear & Casual,No,Rayon,Hand Wash,1,Shirt Style,,No,Girl,Top,Don't Iron|Don't Brush,0.2,16x14x4,0.1792,INDIA,,,https://www.dropbox.com/sh/boa3mi4i8orp95y/AACV3w22LKKnauh3WkIWUPvra/image007.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AACtVukHm9wZsmh89a250oUia/image008.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AAA4e_7NHKq0vymyGg3fGCB0a/image009.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AABV6YX3bBqhq4ToMcClufw8a/image010.png?dl=0,,,
"Tops,Tees,Tunics & Shirts",GE_001_BGE_L,FSLTOP3068A_L,Beige Color Reyon Printed Long Top,,530,1099,10,L,Beige,3/4th Sleeves,Galaxy Enterprises,Square Neck,Printed,Active Wear & Casual,No,Rayon,Hand Wash,1,Shirt Style,,No,Girl,Top,Don't Iron|Don't Brush,0.2,16x14x4,0.1792,INDIA,,,https://www.dropbox.com/sh/boa3mi4i8orp95y/AACV3w22LKKnauh3WkIWUPvra/image007.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AACtVukHm9wZsmh89a250oUia/image008.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AAA4e_7NHKq0vymyGg3fGCB0a/image009.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AABV6YX3bBqhq4ToMcClufw8a/image010.png?dl=0,,,
"Tops,Tees,Tunics & Shirts",GE_001_BGE_XL,FSLTOP3068A_XL,Beige Color Reyon Printed Long Top,,530,1099,10,XL,Beige,3/4th Sleeves,Galaxy Enterprises,Square Neck,Printed,Active Wear & Casual,No,Rayon,Hand Wash,1,Shirt Style,,No,Girl,Top,Don't Iron|Don't Brush,0.2,16x14x4,0.1792,INDIA,,,https://www.dropbox.com/sh/boa3mi4i8orp95y/AACV3w22LKKnauh3WkIWUPvra/image007.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AACtVukHm9wZsmh89a250oUia/image008.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AAA4e_7NHKq0vymyGg3fGCB0a/image009.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AABV6YX3bBqhq4ToMcClufw8a/image010.png?dl=0,,,
"Tops,Tees,Tunics & Shirts",GE_001_RG_S,FSLTOP3068B_S,Rama Green Reyon Printed Long Top,,530,1099,10,S,Rama Green,3/4th Sleeves,Galaxy Enterprises,Square Neck,Printed,Active Wear & Casual,No,Rayon,Hand Wash,1,Shirt Style,,No,Girl,Top,Don't Iron|Don't Brush,0.2,16x14x4,0.1792,INDIA,,,https://www.dropbox.com/sh/boa3mi4i8orp95y/AADzzgwu4e8Ttym-j-FI3ENha/image011.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AADjIy1elahewnyZWUkqCDiYa/image012.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AADIFOSqF3CGa4BT7x176Qxwa/image013.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AABfC4bw2uuj175sVYyElVC_a/image014.png?dl=0,,,Featured
"Tops,Tees,Tunics & Shirts",GE_001_RG_M,FSLTOP3068B_M,Rama Green Reyon Printed Long Top,,530,1099,10,M,Rama Green,3/4th Sleeves,Galaxy Enterprises,Square Neck,Printed,Active Wear & Casual,No,Rayon,Hand Wash,1,Shirt Style,,No,Girl,Top,Don't Iron|Don't Brush,0.2,16x14x4,0.1792,INDIA,,,https://www.dropbox.com/sh/boa3mi4i8orp95y/AADzzgwu4e8Ttym-j-FI3ENha/image011.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AADjIy1elahewnyZWUkqCDiYa/image012.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AADIFOSqF3CGa4BT7x176Qxwa/image013.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AABfC4bw2uuj175sVYyElVC_a/image014.png?dl=0,,,
"Tops,Tees,Tunics & Shirts",GE_001_RG_L,FSLTOP3068B_L,Rama Green Reyon Printed Long Top,,530,1099,10,L,Rama Green,3/4th Sleeves,Galaxy Enterprises,Square Neck,Printed,Active Wear & Casual,No,Rayon,Hand Wash,1,Shirt Style,,No,Girl,Top,Don't Iron|Don't Brush,0.2,16x14x4,0.1792,INDIA,,,https://www.dropbox.com/sh/boa3mi4i8orp95y/AADzzgwu4e8Ttym-j-FI3ENha/image011.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AADjIy1elahewnyZWUkqCDiYa/image012.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AADIFOSqF3CGa4BT7x176Qxwa/image013.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AABfC4bw2uuj175sVYyElVC_a/image014.png?dl=0,,,
"Tops,Tees,Tunics & Shirts",GE_001_RG_XL,FSLTOP3068B_XL,Rama Green Reyon Printed Long Top,,530,1099,10,XL,Rama Green,3/4th Sleeves,Galaxy Enterprises,Square Neck,Printed,Active Wear & Casual,No,Rayon,Hand Wash,1,Shirt Style,,No,Girl,Top,Don't Iron|Don't Brush,0.2,16x14x4,0.1792,INDIA,,,https://www.dropbox.com/sh/boa3mi4i8orp95y/AADzzgwu4e8Ttym-j-FI3ENha/image011.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AADjIy1elahewnyZWUkqCDiYa/image012.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AADIFOSqF3CGa4BT7x176Qxwa/image013.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AABfC4bw2uuj175sVYyElVC_a/image014.png?dl=0,,,
"Tops,Tees,Tunics & Shirts",GE_002_NB_S,FSLTOP2046A_S,Navy Blue Cotton Embroidered Long Top,,530,1099,10,S,Navy Blue,3/4th Sleeves,Galaxy Enterprises,Mandarin,Embroidered,Active Wear & Casual,No,Cotton,Hand Wash,1,Regular Top,,No,Girl,Top,Don't Iron|Don't Brush,0.2,16x14x4,0.1792,INDIA,,,https://www.dropbox.com/sh/boa3mi4i8orp95y/AABLMXPey0lvzeTUz90ojshna/image015.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AADkTFCxmlAZVd9FfTi1kYlaa/image016.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AADw-T6IA-zsj0AKd6T9wP2xa/image017.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AABeHgay5B0KTf5iyFTRwRWAa/image018.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AAAfrvH1gClrbIpz7xZCMUvTa/image019.png?dl=0,,
"Tops,Tees,Tunics & Shirts",GE_002_NB_M,FSLTOP2046A_M,Navy Blue Cotton Embroidered Long Top,,530,1099,10,M,Navy Blue,3/4th Sleeves,Galaxy Enterprises,Mandarin,Embroidered,Active Wear & Casual,No,Cotton,Hand Wash,1,Regular Top,,No,Girl,Top,Don't Iron|Don't Brush,0.2,16x14x4,0.1792,INDIA,,,https://www.dropbox.com/sh/boa3mi4i8orp95y/AABLMXPey0lvzeTUz90ojshna/image015.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AADkTFCxmlAZVd9FfTi1kYlaa/image016.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AADw-T6IA-zsj0AKd6T9wP2xa/image017.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AABeHgay5B0KTf5iyFTRwRWAa/image018.png?dl=0,https://www.dropbox.com/sh/boa3mi4i8orp95y/AAAfrvH1gClrbIpz7xZCMUvTa/image019.png?dl=0,,
